Number,txt,S1,S2,S3,TITLE,CONTENT
20,離火,4,3,3,工作,工作跟官樂欣欣，工作用心官貴人，官鬼遇貴多如意，以後成事利益深，欲進衙門近貴人，跟官無數樂欣欣，逢沖遇鬼多如意，已後成家利益身
21,坤地,5,8,8,工作,問卜上司恐不諧，工作守舊並無害，若要妄動不自力，定有刑傷費心機，君進衙門恐不諧，只宜守舊自無災，若要妄想繩頭利，定有刑傷費心懷
22,兌澤,6,2,2,工作,欲問上司事不如，工作官運兩差疑，回頭趕早成家計，免受刑傷才覺醒，置田占此問端祥，置後財多利更長，卻喜中人更有力，田財之後必高強
23,乾天,7,1,1,工作,占卜工作亦無害，上司順從禮上來，方能得貴財星旺，管取他年得財利，從富須從臉上來，跟官守分亦無災，世高應下財星旺，管取他年得利歸
24,坎水,8,6,6,工作,欲進上司未有成，工作何必傍朱門，五鬼重重從中阻，奉勸君家惜此身，星曜進門未有成，靈靈何必傍朱門，開心父母阻從重，運平勸君先修身
25,否,1,1,8,公職,公職考運機未到，胞胎內陰有阻礙，壬癸亥子榜上名，今成績平不理想，文書官鬼問蘭亭，許宴佳賓見名利，水上流年多有選，今年科舉只平平
26,節,2,6,2,公職,公職財失難上榜，貴人不顯官運剋，他年再考較有望，今年公職不如意，財破文書難上榜，子孫太旺又傷官，二科之內有機會，科舉今年可自然
27,大畜,3,7,1,公職,公職考試破官星，官運休囚總不濟，公考成績又如何，營謀他業步雲梯，財爻持世破文章，官鬼休愁總不如，科舉占之終未穩，營謀斷許步雲梯
28,解,4,4,6,公職,公職考試不如意，高考不宜破星君，雖是貴人無阻隔，卻因他年步青雲，妻財持世克文書，科舉占之事不如，雖是入場無阻隔，只因當道有堪虞
29,漸,5,5,7,公職,公職考試文書破，官運科舉不如前，子午之年使得力，今日休問貴高低，子孫宮被文書破，科舉占之恐不如，子午之年始得力，今日休問貴高低
30,噬嗑,6,3,4,公職,卦卜公職考試旺，十年寄跡在寒窗，公職每多順心意，此番斷許姓名揚，十年寄跡在寒窗，今日文章射鬥光，科舉占之多遂意，此番斷許姓名揚
31,升,7,8,5,公職,公職考試可成名，不須疑慮問低高，鹿鳴宴上呼先到，衣紫腰金福祿超，科舉成名占此爻，不須疑慮問低高，鹿鳴宴上呼先進，衣紫腰金福祿全
32,革,8,2,3,公職,卦問公職光耀門，科甲爭名在此時，天時地利人爵至，果然不負勤努力，文星光耀斗牛虛，科甲爭名在此時，天爵既修人爵至，果然方不負男兒
33,坎水,1,6,6,六甲,六甲占卦險與安，臨產略略有虛驚，庚辛申酉長生日，有驚無險母子安，孕育求占險與平，略有虛驚需安胎，庚辛卯酉長生日，臨產雖凶身不驚
34,艮山,2,7,7,六甲,六甲生產不順心，陰公縳祈保娘身，只待嬰兒離母腹，自然身體安康臨，六甲占之不遂心，許其香願保娘身，母體嬰兒皆平安，福壽自然永康寧
35,震雷,3,4,4,六甲,六甲臨卦占孕產，憂慮重重有虛驚，十月之間寅午利，行善祈福保安寧，六爻臨卦占孕畜，財鬼重重有虛驚，十月之間寅午利，也須作福保平安
36,巽風,4,5,5,六甲,六甲平安兩無礙，子孫旺相助妻財，寅午戌到佳音至，平安孕育保無災，子孫旺相助妻財，子母夫妻兩得諧，寅子戌爻音信至，平安孕育保無災
37,離火,5,3,3,六甲,六甲生產多喜氣，子孫重重子楝樑，母子俱安無足慮，貴神護佑得安寧，子孫持世子星明，孕產多應喜氣生，母子俱安無足慮，數中保汝得安寧
38,坤地,6,8,8,六甲,六甲生產有虛驚，官鬼相沖卦未寧，時逢寅卯災星脫，保得母身子無驚，世應相沖卦未甯，妻宮子育有虛驚，時逢寅卯災星脫，保得母身子無驚
39,兌澤,7,2,2,六甲,卦占六甲順心意，母子平安內陰明，冬夏男女人丁旺，虛驚雖有不猜疑，兩重父母一重財，孕育占之實美哉，冬季生男夏產女，虛驚雖有不害傷
40,乾天,8,1,1,六甲,六甲懷孕有虛驚，男在冬李女在春，申亥日辰才遇吉，不須疑慮苦憂心，卦占孕育有虛驚，男在冬兮女在春，申亥日辰方遇吉，不須疑慮苦憂心
41,困,1,2,6,分家,分家分產免質疑，日後不會有差錯，共同意見處理佳，春秋財旺無煩惱，分家君占欲上疑，管教日後不差池，春秋財旺無煩惱，任意為來總得宜
42,遯,2,1,7,分家,分家何患不稱心，子孫持世益千金，官鬼雖有總無忌，老實親族信可憑，分家何患不稱心，千金益子孫持世，無忌官鬼臨應位，老實親族方可信
43,屯,3,6,4,分家,目前分家有是非，暫時守舊有便宜，內外小人添麻煩，消除貪念免被欺，此卦分家有是非，豈知守舊得便宜，應高世下多煩惱，且自忍耐免被欺
44,蠱,4,7,5,分家,分家占之此為凶，官鬼持世莫徒勞，經營雖小應有利，若是分家有禍招，分家占逢此卦爻，鬼爻持世莫徒勞，經營些小應收利，若是分家有禍招
45,豐,5,4,3,分家,現在分家順有成，自然得利不須愁，福神相助臨門來，財利滔滔無怨尤，應識分家後有收，自然得利不須愁，福神旺相臨門戶，財利滔滔無怨尤
46,觀,6,5,8,分家,分家占之是不全，父母持世家團圓，再過三載福祿至，兄弟分財亦如願，子孫持世廣財源，放債占之事可全，財力重重方信算，四季財源利如泉
47,睽,7,3,2,分家,卦占分家事不宜，五鬼紛爭有是非，待到來春方起意，可保無慮有和美，此卦占來有不宜，君問分家有是非，待到來春方起意，方保無虞有和美
48,泰,8,8,1,分家,占卦分家時不對，全因官鬼財位旺，若還後悔須防妒，省的精神家計長，分家不宜占此卦，嫌因世位旺文書，須防後悔還心妒，賓士不如意若得
49,漸,1,5,7,文件,文書卦見領文憑，反反覆覆實可疑，巳午未日終有望，過期又恐生變數，文憑重見領文憑，反復其中實可疑，巳午未火局臨貴，過期又恐有耽遲
50,噬嗑,2,3,4,文件,卦卜文件來助君，領文件心可安心，亥子丑日方可得，貴人相助得尺緣，妻財持世主升官，佔領文書信可安，南方交得亥子丑，遇奇緣貴人當道
51,升,3,8,5,文件,占領文書應會有，曰期應在亥子丑，貴人得力喜相生，管取文書來到手，佔領文書須便有，日期應在亥子丑，貴人得力喜相生，管取文書來到手
52,革,4,2,3,文件,問卜文件為批文，官貴重重即日臨，兩處貴人相得利，依然逐志笑顏開，人來問卜為批文，官鬼重重即日臨，兩處貴人多得利，依然遂志笑顏開
53,否,5,1,8,文件,文件世應來相生，欲領回文可順心，戊己庚辛方入手，如逢寅卯且稍停，文書應世應相生，欲領批回可稱心，戊己庚辛方入手，如逢寅卯且稍停
54,節,6,6,2,文件,領文件占困難明，不明文書心難安，要忌小人多阻隔，必須破費得周全，領文占之至先難，不破文書心不安，要忌小人多阻隔，必須破費得周全
55,大畜,7,7,1,文件,文書官星貴人多，領卻批文事可和，進步自然少阻隔，見機而作笑呵呵，文章官鬼貴人多，領卻批文事可和，進步自然少阻隔，見機而作笑呵呵
56,解,8,4,6,文件,欲領批文要用錢，若還不批必遲緩，財逢亥子方如意，寅卯求之尚未然，春蠶喜得兩重財，官鬼相臨久稱懷，亥子如意方逢財，求之尚未寅卯辰
57,震雷,1,4,4,出行,出行占卦恐非宜，出外目前有是非，相沖劫財多阻隔，待日再行平安吉，此行非宜恐有災，兄弟臨門有是非，世應逢沖多阻礙，不宜妄動且遲遲
58,巽風,2,5,5,出行,出行占卦不須疑，當運高昂貴人顯，一路順風無阻礙，路途平安財利豐，出行占此不須疑，世位高分應位低，世克應爻無阻隔，重重財喜遂心機
59,離火,3,3,3,出行,出行占此主平安，略有不順無阻礙，春時但防旁人算，秋末冬初遇貴人，世應相生無掛礙，出行占此主平安，春時略忌旁人算，秋末冬初遇貴緣
60,坤地,4,8,8,出行,出行君來問此卦，防意外麻煩虛驚，汪然跋涉費心機，勞苦奔走無事成，此卦君來問出行，鬼爻持世有虛驚，徒然跋涉無些利，奔走勞勞枉費心
61,兌澤,5,2,2,出行,出行占卜有差訛，時機不對難相和，秋冬之季才順心，春夏之時憂慮多，此卦應世不比和，出行還記有差訛，秋冬之後才順利，春夏之時憂慮多
62,乾天,6,1,1,出行,出行占卜萬事吉，平安順利無差失，春更財利自然高，秋冬空思汪費力，世應比和萬事吉，出行順利無差失，春夏財利自然高，還占秋冬空費心
63,坎水,7,6,6,出行,出行君卜問吉凶，劫煞重重損財利，須防五鬼事難成，不如安份守家園，兄弟重重爻上春，不如安分守田園，出行若問利和吉，破耗須防事不成
64,艮山,8,7,7,出行,卜卦知君出行難，憂心事理出不成，途中危險須防阻，安守家園莫出門，君出行難莫問卜，鬼爻持世無出成，須防阻中途危險，田園安守莫遠行
65,復,1,8,4,失物,君問失物難尋回，費神傷身枉自忙，內外兩方分贓去，勸君放下莫思量，應來持世福神傷，失物占之枉自忙，內外兩人分卻去，勸君且舍莫思量
66,大過,2,2,5,失物,失物占卜不須憂，賊人藏之可緩尋，庚甲寅申會見面，賊人自犯失財運，錢財失卻不須憂，內外藏之可緩求，庚午寅申會見面，機謀賊星該敗失
67,同人,3,1,3,失物,失物占卜賊人強，失物南北托神尋，勸君放心休急促，花錢尋物亦難尋，鬼爻持世賊人強，失物西南空自忙，尋覓勸君休急促，花賈錢財亦難防
68,比,4,6,8,失物,失物之人枉自尋，賊星旺卦莫思量，失財遭竊休生怨，財去人安百世吉，失物之人枉自尋，賊人上卦莫思量，財當召見休生怨，財去人安百事昌
69,損,5,7,2,失物,失財失物不須忙，尋物往東東南南，已亥有人傳消息，甲戊庚日見正詳，失財失物不須忙，躲在東南水井旁，巳亥有人傳消息，甲戊辰日見正祥
70,大壯,6,4,1,失物,問失財物不須焦，財去財來命裡招，寅卯亥子清見到，一輪明月財物明，失物失財不須焦，財去財來命裏招，寅卯亥子清見到，一輪明月照兩郊
71,渙,7,5,6,失物,失物失財最憂心，家賊難防緩緩尋，屢遇賊徒還怕失，時逢丑亥更慎心，失財失物莫憂心，家賊難防緩緩尋，屢遇賊徒還怕失，時逢丑亥更防驚
72,旅,8,3,7,失物,失財失物並無蹤，到底追究財物空，著急追究無覓處，財物所失兩相沖，去無蹤失財失物，財物空終須一災，追究無益覓無處，卦氣交沖應財兩
73,渙,1,5,6,生意,生意問卦喜氣臨，貴人當運應可行，生意事業百事昌，名利雙收不用比，福德星強喜氣臨，生意之中百事宜，當道貴人應可托，從今名利不賓士
74,旅,2,3,7,生意,生意占卦許順情，誠實買賣免憂心，只宜謹慎防意外，經營得利任君行，生意占之許遂情，來人不用苦憂心，宜謹慎斟酌行事，出入經營任君行
75,復,3,8,4,生意,占卦生意事不成，三番四復枉勞神，直待秋深冬到日，日日隨心必然成，占卦生意事不成，三番四複枉勞神，直待秋深冬到日，隨心方許必然成
76,大過,4,2,5,生意,卦中生意可經營，財利豐厚可順心，忙裡偷閒尋快樂，勝過他年十倍金，數中生意要經營，此卦占之得遂心，忙裏偷閒尋歡樂，勝過他年十倍金
77,同人,5,1,3,生意,卜問生意不必疑，官鬼凶神兩邊走，貴人扶助百事昌，目前有七分財利，官鬼文書兩字諧，若問生意不必挨，貴人應有扶持力，目下許君七分財
78,比,6,6,8,生意,生意占之未見誇，官鬼財利有落差，只宜謹慎加斟酌，更待春來方可佳，生意占之未見誇，鬼爻持世有參差，只宜謹慎加斟酌，只待來春方可佳
79,損,7,7,2,生意,生意占之小有財，官鬼有損劫煞高，若施小惠方遂意，申未時節便可拋，生意占逢此卦爻，滿中求損最為高，若用小費方遂意，申未時逢便可拋
80,大壯,8,4,1,生意,生意占之可稱心，貴人作主喜相生，鱉魚脫出全鉤釣，搖頭擺尾出此行，生意遂心占之許，相生貴人來作主，金鉤釣鼇魚出喜，出門搖扇擺首式
81,蹇,1,6,7,交易,交易占之卦最宜，應來貴人有扶助，雖然財利只平平，信實成交沒誤差，占之最宜交易期，應來生世有扶持，財利平穩然是福，誠信老實沒是非
82,頤,2,7,4,交易,交易占之卦甚良，喜神持世財高強，買賣看來真順意，三七十一見禛祥，財爻持世必高強，交易占之卦甚良，買賣遂意看艮方，三七十一見真章
83,恆,3,4,5,交易,交易占之不為奇，財利事上可依卦，春夏之間大吉利，秋冬交易事不宜，財爻上卦不為奇，交易占之是可依，吉利新春仲夏間，不宜秋冬總要守
84,家人,4,5,3,交易,生意占之事可為，成交之後有差疑，貴人顯星終可平，等待春時便可成，交易占之事可為，成交之後有差疑，六爻無鬼終須就，若在春時更可奇
85,晉,5,3,8,交易,交易占之最為吉，買賣認同可成交，若得利在秋季明，相生相利財利昌，交易占之屯卦爻，應來生世許成交，若占利源秋季旺，百世相生福祿昌
86,臨,6,8,2,交易,交易難逢買賣人，困難重重勞碌奔，等待時機貴人臨，勉強將來必定還，買賣難逢買賣人，欲占交易不如情，私和不如官和好，兒強和來恐不能
87,夬,7,2,1,交易,卜交易之事可商，中人得力福星強，貴人臨門財利旺，正是時日保無妨，子孫持世福星強，交易占之事可商，得力中人來助我，不順疑慮保無妨
88,訟,8,1,6,交易,交易可成少擔心，官鬼相助許成交，雖然利益平平得，買賣求財願求多，交易君占此卦爻，應來生世許成交，雖然年息平平得，脫貨求財做這遭
89,明夷,1,8,3,合夥,日月合卦最為靈，君占合夥事可為，雙方利益皆如意，莫猜多疑聽是非，日月同逢卦最靈，君占合夥甚施為，六爻安靜身心旺，不必多疑聽是非
90,萃,2,2,8,合夥,占卜合夥財不佳，官鬼營利不順利，將來必有爭端議，單自謀圖錦上花，占此財爻不甚佳，與人合夥事難誇，爭端起處在前頭，別圖錦上花莫忘
91,履,3,1,2,合夥,合夥占之兩相宜，財神來臨最為吉，同心合作名利收，有始有終多財利，子孫持世卦為吉，合夥占之多利益，同心合伴作生涯，有始有終無損失
92,需,4,6,1,合夥,合夥經營事可為，目前已知無大利，貴人來臨喜財神，遲遲財喜自相宜，子孫持世最為宜，合夥經營事可期，目下雖知無大利，遲遲財喜自相宜
93,蒙,5,7,6,合夥,合夥占之百事亨，財神臨門兩見利，財旺人和多喜事，誠信合作百利昌，子孫持世卦為親，合夥占之百事亨，財旺人和多喜色，管教日後好收成
94,小過,6,4,7,合夥,合夥占之不須疑，貴人顯達入家門，春秋二季財源穩，出入為商百事昌，合夥經營卦最佳，不須疑問聽凡心，春秋兩季財源穩，出入謀為百事宜
95,益,7,5,4,合夥,合夥經營有財喜，福神臨門稱心懷，夏秋兩季財源盛，若到春冬財利旺，合夥經營應有財，財爻持世稱心懷，夏秋兩季財源盛，若到春冬財更添
96,鼎,8,3,5,合夥,合夥求財兩未宜，須防不和有是非，官鬼親友都作難，若到冬夏利有愈，合夥求財爻未宜，須防目下有閑非，春秋二季財爻旺，冬夏有虧利難全
97,小過,1,4,7,同居,同居情緣難合意，消除念頭轉心意，貴人相解如願償，日後免別離後悔，君爻持世未和諧，入贅求婚莫妄為，只好回頭尋別計，免教別後有悲哀
98,鼎,3,3,5,同居,相愛同居事可為，夫妻魚水兩和諧，貴人化解男女結，正緣相愛福祿全，入贅求婚事可為，和諧雨水兩夫妻，外家得此乘龍婿，舉案齊眉福祿全
99,明夷,4,8,3,同居,同居情緣事可為，福臨門庭自有排，只嫌卦內姻緣稀，速造桃花子結果，贅婿求婚事可為，財臨應位有歸依，只嫌卦內文書照，花則多移子結稀
100,萃,5,2,8,同居,同居占之喜氣濃，妻財子孫兩星榮，他年管教成家業，少婦齊眉直到終，入贅占之喜氣濃，財逢妻子兩星榮，他年管教得家業，少婦齊眉直到終
101,履,6,1,2,同居,同居情緣未為歡，男女無情事不安，無緣強求要斟酌，日後不離造緣吉，鬼爻無氣未為歡，男女無情事不安，入贅求婚要斟酌，恐防日後不安全
102,需,7,6,1,同居,同居占卦未成美，隔閡重重有是非，正緣已過莫強求，莫非緣了姻緣現，君占入贅未全美，隔角重逢有是非，女命重夫並壽促，必須別計再營為
103,蒙,8,7,6,同居,同居占之有是非，男女情緣事不為，陰緣暈緣姻緣定，必須審慎方為宜，財爻持世不為遲，入贅占之有是非，女命從夫並夭壽，宜選事情須小心
104,益,2,5,4,同居,同居男女要斟酌，神鬼應世枉勞心，重重阻隔財遭劫，只可回頭別處尋，入贅求婚要思量，鬼爻持世勞心力，重重劫財又險阻，回頭他處尋方可
105,鼎,1,3,5,回鄉,回鄉占卦主平安，福德財源兩齊美，隨行相伴有貴人，路途安心回家鄉，占此平安回鄉里，財源福德要相全，伴侶定教逢貴客，心寬路途更覺曉
106,明夷,2,8,3,回鄉,回鄉占此未為宜，後有麻煩是非多，且慢安身休妄動，他日再看起身回，占此未宜回鄉遲，屯占多是非會有，且安身心休妄動，不依數斷有差池
107,萃,3,2,8,回鄉,君問回鄉可得當，官鬼降臨要商量，依卦不如莫妄動，春去夏來保安康，鬼爻持世要商量，君問回鄉可的當，依卦目前勿動心，保安康春去夏來
108,履,4,1,2,回鄉,君問回鄉許順心，多增伴侶來作陪，認識貴人有助力，順風平安到家回，君問回鄉許遂情，只因伴侶有娥增，率有貴人有助力，管教穩步到家庭
109,需,5,6,1,回鄉,君占此卦要回鄉，路途遂遙有損傷，若在秋冬莫妄動，夏春兩季也平常，君占此卦要回鄉，程途迢遙有損傷，若在秋冬莫妄動，夏春二季也平常
110,蒙,6,7,6,回鄉,回鄉目前不為疑，貴人相助阻有誰，歸心似箭可平安，路途平坦少憂疑，回鄉占此蔔為疑，我克他人阻有誰，福德財爻俱上卦，路途平坦少憂疑
111,小過,7,4,7,回鄉,回鄉占卦並無災，路上平安旅途回，家人憂心免驚慌，凡事藏機少是非，世應比和卦甚奇，回鄉占此卦無虞，家中役戶差徭重，凡事藏機少是非
112,益,8,5,4,回鄉,君卜回鄉問平安，子孫健旺甚為高，途中伴侶為知己，平安一路不用焦，回鄉問卦君欲行，文采高子孫健旺，伴侶兼知己同為，一路平安順心成
113,大壯,1,4,1,收成,收成五榖財神降，一家歡樂樂無窮，定可獲得大豐收，一年栽種兩年收，財臨應有收成位，稱作田禾十倍增，牛水米乾天意好，來年收勝兩年春
114,渙,2,5,6,收成,收成風調雨順成，君問收成快稱心，天助五穀財無損，財豐利獲君稱心，歲晴半雨好年成，君問秋收快稱心，五穀豐登無折耗，後來方許遂君心
115,旅,3,3,7,收成,卦中許你半收成，官鬼仇神兩神興，風雨不順背人願，勸君等待晚收成，卦中許你半收成，且得文昌兩字興，水少旱多宜粟豆，禾苗必待晚收成
116,復,4,8,4,收成,卜收成不得天時，時運不濟財利稀，早禾不如晚禾好，他日方計好收成，種田難許大收成，雨少晴多雨不均，早禾不如晚禾好，他時方信卦通靈
117,大過,5,2,5,收成,卜問收成實美哉，豐富收成雙重財，一分耕耘三分收，豐年財利順無災，澤風大過兩重財，若問收成實美哉，旱少雨多禾稻穩，高低兩處並無災
118,同人,6,1,3,收成,君問收成恐不多，勞心勞力枉費心，良田不及劣田好，富貴重重破財損，君問秋收恐不多，勞心勞力枉奔波，高田不及低田好，富貴重重破損多
119,比,7,6,8,收成,收成占之卦中平，只許獲利半入門，前年不比今年好，日後豐收財利多，收成占之卦中平，只許收成半入門，早禾不及晚禾好，晴多雨少谷豐登
120,損,8,7,2,收成,收成占此卦為奇，官鬼臨門福祿齊，景氣不佳收成好，耕輕有獲各相宜，此卦為奇收成好，福齊祿全官鬼休，小旱無憂農事好，高平底下各相宜
121,益,1,5,4,收帳,收帳送達主順利，上下貴人多得力，必然可以平安歸，完成任務收取財，收解錢糧主太平，六爻無鬼不虛驚，上下貴人多得力，定官得利轉家庭
122,鼎,2,3,5,收帳,收帳問卜事難諧，憂心憂慮事不佳，若不小心謹慎防，厄耗刑傷損災厄，鬼爻持世事難諧，收解錢糧事不佳，謹慎小心需防災，定主刑耗兩相加
123,明夷,3,8,3,收帳,收帳錢財遇貴人，吉神臨門喜盈盈，路途驚恐雖然有，祿馬扶持保太平，收解錢糧遇貴人，子孫臨印喜盈盈，口途驚恐雖然有，祿馬扶持保太平
124,萃,4,2,8,收帳,收帳錢財事有驚，還防五鬼有相爭，如逢冬季平平過，若待春時定有刑，收解錢糧事有驚，還防雀角有相爭，如逢冬季平平過，若待春時定有刑
125,履,5,1,2,收帳,收帳占卜無是非，吉神來臨有扶持，有驚無險免猜疑，財利雙全歡喜歸，子孫持世有扶持，問解錢糧無是非，驚恐有些無大害，完官得意喜歡歸
126,需,6,6,1,收帳,收帳錢財問卦吉，官鬼持世沒虛驚，幸君人事多順意，利益平平得太平，收解錢糧來卜吉，子孫持世沒虛驚，幸君人事多般遂，利息平平得太平
127,蒙,7,7,6,收帳,收帳占之要遲遲，目前有不順人心，春夏千金方順意，秋冬麻煩較難行，錢糧解送要遲遲，目下須知定不行，春夏千金多遂意，秋冬只恐要遲遲
128,小過,8,4,7,收帳,收帳錢財頗稱心，貴人相助必如情，五鬼劫煞臨門來，冬夏占之更可行，欣領批文要用錢，若還不用必遲遲，文書官鬼來臨應，稱心冬夏更相宜
129,履,1,1,2,考運,考運文昌星有礙，待貴人他日降臨，丙丁星君齊下降，進學高分上榜名，進學占之履卦爻，文書官鬼兩相交，才名二字成推薦，定主他年在錦標
130,需,2,6,1,考運,考運升學稱如意，當防內除礙功名，策論經書如勉勵，定教考績有名聲，官爻生世好求名，入學占之許遂心，策論經書如勉勵，定教科舉有聲名
131,蒙,3,7,6,考運,考運文昌升學堂，績優如花滿庭香，平日苦讀有代價，魁星踢斗射星光，恩成士業已升堂，選入芹宮姓氏香，小試公庭求薦拔，文書端的射星光
132,小過,4,4,7,考運,考運占之可稱心，貴人扶助必超群，行遠登高從此起，他年還許步青雲，妻財持世必超群，入學占之遂稱心，行遠登高從此起，他年還許步青雲
133,益,5,5,4,考運,卦占考運喜非常，入學考試定有名，貴星臨門皆得力，管教拔選棟樑才，應來生世喜非常，入學占之定有功，上下貴人皆得力，管教拔選入黌宮
134,鼎,6,3,5,考運,卜占升學考運興，但絕好文章不明，此次每運難得意，成績不利枉勞心，來占進學弟兄興，絕好文章見不明，一任細思空得意，運中不利枉勞心
135,明夷,7,8,3,考運,升學考試恐不如，文書未現破文昌，秋夏兩季猶可望，春冬成績嘆不定，鬼爻持世破文書，入學占之恐不如，秋夏二季猶可望，春冬還要再遲遲
136,萃,8,2,8,考運,考運沖破有事因，文書有氣卦生憂，欲問成績難如意，當回窗下且藏修，文書有氣卦生憂，世位逢沖是不同，欲問功名芹淑裏，當回窗下且藏修
137,師,1,8,6,行人,君問行人何時到，音信遲未傳臨門，庚辛巳午交臨日，可望人財兩見之，君問行人何日至，應未臨門音信遲，庚辛巳午交臨日，人財兩見善心宜
138,咸,2,2,7,行人,占問行人人不定，丑未庚辛方有知，到時會順君之意，人財現自有安排，應來生世遂心懷，君問行人不日來，丑未庚午方有信，人財兩見卦安排
139,無妄,3,1,4,行人,占問期盼問行人，官鬼變動福到臨，直到子亥即可望，預期辰子有佳音，天雷無妄問行人，財應初爻主到臨，交子巳亥即可望，預期辰子有佳音
140,井,4,6,5,行人,君來占卜問行人，官鬼持世有信音，叔伯弟兄應亥子，子孫半僕在寅申，君來占卜問行人，黃犬青鸞有信音，叔伯弟兄應亥子，子孫伴僕在寅申
141,賁,5,7,3,行人,君占此卦問行人，人在他方身未動，不但不是無消息，須防冬令有虛驚，君占此卦問行人，人在他方未轉身，不歸來時無利息，還防冬上有虛驚
142,豫,6,4,8,行人,行人未見音信稀，沖破文章事不諧，已亥庚申方有信，滿門財喜稱心懷，行人未見信音稀，財破文章事不諧，巳亥庚辛方有信，滿門財喜稱心懷
143,中孚,7,5,2,行人,卜行人來早與慢，卦內分明說仔細，亥丑來臨方可到，隨身財帛自然期，行人來早與來遲，卦內分明說與知，亥丑來臨方可到，隨身財帛自然期
144,大有,8,3,1,行人,卜問行人來等待，音信雖有不得真，燈花報喜逢時到，但看天上月圓時，火天大有問行人，音信雖真信不得，到時報喜燈花綵，莫問天上月鉤星
145,歸妹,1,4,2,住宿,住宿問卦陰煞重，小心住到有問題，勞碌奔馳無處宿，另找別房有益處，子孫無位兩文書，怎奈旁人搬是非，有館被人尋奪去，枉徒勞碌費賓士
146,小畜,2,5,1,住宿,君卜住宿不可住，神鬼相爭不安寧，西南方上更難住，問別間店方可成，為因尋官去尋人，兄弟相爭有奪爭，若問別鄉尤可就，西南方上甚難成
