Number,Serial,TITLE,CONTENT
107,263,姻緣,卦占姻緣最為良，財喜貨重福祿強，夫婦相隨多福壽，興家立業好呈祥，招婿占卦為良善，福祿強財喜重重，福壽夫婦多和諧，立業興家吉祥雲
108,264,求醫,求醫難醫業障深，福不來良藥不靈，藥無緣內外陰礙，再逢華陀也難寧，醫憑福德可持身，積福之家藥靈扶，楚楚服藥多無緣，再逢扁鵲也難成
109,265,取討,取討資財此卦靈，托中求取事難成，雖是月前多阻隔，遲遲方許有佳音，資財討取卦最靈，求取托事成局險，月前阻礙須等待，有佳音遲遲方許
110,266,貴人,卦問貴人天必助，若詢貴人貴必臨，坎逢壬癸亥中貴，要貴但看戌丑辰，若問天晴天必晴，若詢不雨雨來霖，陰雨水坎壬癸亥，戍申庚金誠來開
111,267,運途,運途何須問好壞，喜君轉運莫猜疑，雖然早運多成敗，時來應知福綿長，命運何須問短長，喜君運限莫相商，早年敗多成少事，應知福壽長時來
112,268,學業,君問學業聖賢書，讀書事業可堪圖，官臨世位文星旺，選入功名聲世昌，經綸事業聖賢書，可讀書方圖事業，文星旺位官臨世，功名入選住帝邦
113,271,尋人,尋人需貴人機緣，官鬼相交貴不顯，憂心憂人神佛求，四七十月可相期，鬼爻持世未為奇，欲去尋人要見機，莫若待他來自就，四十七月可相期
114,272,娶妻,求占娶妻問姻緣，內外陰有礙反覆，速速回頭前緣尋，福德賢妻多進福，今君取妾來問卜，內外鬼爻要反復，莫若須從前去尋，賢能進福妻多產
115,273,婚姻,婚姻降臨事多端，姻緣困難劫難安，官鬼相交貴不顯，一般難脫第三者，鬼爻持世問多端，君問求婚卻不安，更且媒人不得力，一般說出兩三般
116,274,交易,交易占之卦甚良，喜神持世財高強，買賣看來真順意，三七十一見禛祥，財爻持世必高強，交易占之卦甚良，買賣遂意看艮方，三七十一見真章
117,275,和事,調解須知有貴人，官鬼相交事難成，惟向東南求貴人，皆能歡喜得雙全，兩爻財盛來生世，和事須知遇貴人，唯向東南祈兆去，財能升位的千金
118,276,陞遷,陞遷財官兩星明，知君官爵得高陞，雖然官鬼有阻礙，管取春來顯名財，鬼爻文書兩字明，官爵高升知君意，雖然當道些微阻，沐浴聖恩取春來
119,277,六甲,六甲生產不順心，陰公磚祈保娘身，只待嬰兒離母腹，自然身體安康臨，六甲占之不遂心，許其香願保娘身，母體嬰兒皆平安，福壽自然永康寧
120,278,選舉,地方選舉問神明，福德星強喜氣臨，雖是眼前多阻隔，東西遇貴得前程，卦占納監問神明，喜氣臨福德星強，眼前多阻隔勿驚，遇貴東西前程得
121,281,借貸,借貸占卜不得宜，借貸雙方兩見奇，幾番財利遲遲有，目前猶未合時機，官鬼妻財兩見奇，與人借貸得便宜，幾番財利遲遲有，目下猶未合事機
122,282,賭博,賭博占此只平平，世應相生事有靈，三心二意心不定，四七十一定佳音，賭錢占此只平平，世應相生事有靈，利息不多財許穩，四七十一定佳音
123,283,回鄉,回鄉占此未為宜，後有麻煩是非多，且慢安身休妄動，他日再看起身回，占此未宜回鄉遲，屯占多是非會有，且安身心休妄動，不依數斷有差池
124,284,風水,君占風水可安寧，來龍左右最為奇，財福興隆各發達，人丁強旺家門興，君占風水主安寧，奇龍左右來得運，發達財福興隆客，強壯人丁樂昇平
125,285,開店,開店占之定可成，福星高照貴人來，子亥夏春多利益，何須憂愁莫猜疑，世高應下任君裁，開店占之定美哉，夏春子亥利息多，何須憂愁稱心懷
126,286,求財,占問求財會順心，東西東方正向欣，雖然勞費盡心力，財利終得百千金，占問求財是稱心，東西路道正相應，勞力費心雖然饑，利息終得須萬金
127,287,放賬,放款財利不得時，雙劫財源有猜疑，官鬼神表面降臨，只恐將來未必然，放帳應知要賺錢，兩重兄弟有些嫌，子孫雖是來臨世，只恐將來未必然
128,288,買畜,卦買禽畜來飼養，時運來到百事昌，且待北方財帛在，東西南方未為強，販賣六畜馬豬羊，百事昌時來運來，北方財帛須等待，水見東西南為難
129,311,護送,護送卦占百無驚，官星文書兩相明，沿途貴星會有助，勞心勞綠得安寧，解人占此百無驚，官鬼文書兩字明，當道貴人應有助，先須勞碌後安寧
130,312,合夥,合夥占之兩相宜，財神來臨最為吉，同心合作名利收，有始有終多財利，子孫持世卦為吉，合夥占之多利益，同心合伴作生涯，有始有終無損失
131,313,失物,失物占卜賊人強，失物南北托神尋，勸君放心休急促，花錢尋物亦難尋，鬼爻持世賊人強，失物西南空自忙，尋覓勸君休急促，花賈錢財亦難防
132,314,行人,占問期盼問行人，官鬼變動福到臨，直到子亥即可望，預期辰子有佳音，天雷無妄問行人，財應初爻主到臨，交子巳亥即可望，預期辰子有佳音
133,315,學藝,學藝求財事不宜，逢官鬼運有憂疑，秋天方許順心願，三季無財要見機，手藝求財卦不宜，應逢官鬼有猶疑，交利方許遂心願，三季無財要見機
134,316,家宅,家宅平安百事宜，貴人顯星有護佑，雖然小小多災晦，財祿豐盛百事宜，家宅平安百事宜，貴人得力有扶持，雖然小日多災晦，財祿豐盈百事依
135,317,壽年,君問壽年富應許，鬼神纏身應逢凶，吉凶無常事不同，福壽齊眉如彭祖，鬼神持世應逢凶，聚散無常事不同，君問年壽富應許，福壽齊眉老令公
136,318,走失,占問走失急找尋，自有鄰人報佳音，亥卯未臨方有訊，眼前不見心莫嗔，家人走失定須尋，鄰人報信來貴人，有聲响亥卯未臨，莫生嗔目前不驚
137,321,賭博,賭博未必順君心，定費心機不順情，內外兩卦不見喜，更防失脫莫猜疑，賭錢未必遂君心，心機不順定費心，內外兩爻無利益，莫胡行更防失算
138,322,買畜,卜買禽畜問財源，五鬼相沖事不然，雖見欲成卻阻隔，買成之後不周全，販賣六畜問財源，世應逢沖事不然，雖見欲成還隔阻，買賣不成需仁義
139,323,開店,卦卜開店可稱心，福德到臨廣進財，本少利多交易好，貴人相助財自來，卦占開店許君開，進財廣福德星臨，本少利多好佈施，騎馬貴人來自天
140,324,放賬,放款應知事有虧，不如緩慢得便宜，小人官鬼財不還，凡事三思要見機，放帳應知事有虧，不如不放得便宜，應高世下人強我，見機要凡事三思
141,325,風水,風水占之大吉昌，貴人顯起最吉祥，左右龍虎皆擁護，名堂高闊功名揚，世高應下最為強，風水占之大吉昌，皆護財左龍右虎，文章高明明堂寬
142,326,借財,問借錢財不必疑，錢財上卦最為宜，在秋冬多有不吉，如逢春夏利相依，財爻上卦最為宜，欲借錢財不必疑，若在秋冬多不吉，春夏相依逢利益
143,327,求財,求財問卦是時機，秋夏來臨不用猜，若是九流並雜術，許君財物兩相開，君占此卦問求財，不用猜秋夏來臨，九流雜術並若君，財物許君兩兆相
144,328,回鄉,君問回鄉可得當，官鬼降臨要商量，依卦不如莫妄動，春去夏來保安康，鬼爻持世要商量，君問回鄉可的當，依卦目前勿動心，保安康春去夏來
145,331,口舌,卦卜口舌最難擋，官訟虛驚有一場，辯詞有理我勝訴，但須謹記免刑傷，口舌是非最難當，官訟虛驚有一場，世克應爻須我勝，還須謹記免刑傷
146,332,六甲,君問求子有刑傷，將來須知子孫揚，卦中見沖又逢合，菱荷晚景吐秋香，中年生子有刑傷，目下須知當弄璋，卦見兩沖終有合，芰荷晚景有秋香
147,333,出行,出行占此主平安，略有不順無阻礙，春時但防旁人算，秋末冬初遇貴人，世應相生無掛礙，出行占此主平安，春時略忌旁人算，秋末冬初遇貴緣
148,334,夜夢,夜夢卦出惡連連，許多心事煩心機，全虧自己元辰旺，直到春來百事宜，夢寐之間作鬼逑，許多心事累心機，星辰旺自己全真，春來百事宜直到
149,335,同居,相愛同居事可為，夫妻魚水兩和諧，貴人化解男女結，正緣相愛福祿全，入贅求婚事可為，和諧雨水兩夫妻，外家得此乘龍婿，舉案齊眉福祿全
150,336,住宿,住宿占之得吉卦，賓至如歸好門牆，水火既濟皆相合，剛柔相濟又何妨，重重拔薦好門牆，尋館占之得吉昌，世應兩爻皆相合，水火合剛柔並濟
151,337,收成,卦中許你半收成，官鬼仇神兩神興，風雨不順背人願，勸君等待晚收成，卦中許你半收成，且得文昌兩字興，水少旱多宜粟豆，禾苗必待晚收成
152,338,桃花,今因桃花問靈卦，水內得運有異性，桃花順利東南尋，朵朵桃花未定數，君因取魚問卜靈，水內經營有財源，求謀順利向東方，管教層層不脫空
153,341,娶妻,娶妻欣逢兩相生，妻財臨門最為美，琴瑟和鳴醒夢吉，貴人造緣榮華歸，取妾欣逢此卦爻，妻財臨世最為高，夫君芝蘭夜夢吉，螽斯衍慶且榮華
154,342,選舉,選舉地方恐無成，官鬼不顯非無能，貴人文宣不夠利，三思謹慎得安寧，君占納監恐無成，子動重重枉費心，更忌文書看重複，三思謹慎得安寧
155,343,調解,調解之中可圓融，雙方和解只細詳，圓滿合諧利九月，執中公道自分明，坎卦之中可圓融，君問和事可能通，折獄片言利九月，執中公道兩無容
